Pollutant,Sector,Source,Fuel_Name,Year,Emission_Factor,Emissions
Carbon Dioxide as Carbon,Energy,Agriculture - stationary combustion,Burning oil,1970,0.0195716564137617,Emissions
Carbon Dioxide as Carbon,Energy,Agriculture - stationary combustion,Coal,1970,0.024618182,Emissions
Carbon Dioxide as Carbon,Energy,Agriculture - stationary combustion,Coke,1970,0.0276888395712285,Emissions
Carbon Dioxide as Carbon,Energy,Agriculture - stationary combustion,Fuel oil,1970,0.0213504728132388,Emissions
Carbon Dioxide as Carbon,Energy,Agriculture - stationary combustion,Vaporising oil,1970,0.0201284094104415,Emissions
Carbon Dioxide as Carbon,Memo,Aircraft - international take off and landing,Aviation turbine fuel,1970,0.0195716564137617,Emissions
Methane,Memo,Aircraft - international take off and landing,Aviation turbine fuel,1970,1.82701079374102e-05,Emissions
Nitrous Oxide,Memo,Aircraft - international take off and landing,Aviation turbine fuel,1970,2.27842333105491e-06,Emissions
Carbon Dioxide as Carbon,Energy,Shipping - coastal,Fuel oil,1970,0.0209138593380615,Emissions
Carbon Dioxide as Carbon,Energy,Shipping - coastal,Gas oil,1970,0.0204883306776643,Emissions
Methane,Energy,Shipping - coastal,Fuel oil,1970,1.13600599748984e-06,Emissions
Methane,Energy,Shipping - coastal,Gas oil,1970,7.669378095571e-07,Emissions
Nitrous Oxide,Energy,Shipping - coastal,Fuel oil,1970,3.66082960069819e-06,Emissions
Nitrous Oxide,Energy,Shipping - coastal,Gas oil,1970,3.44985401379522e-06,Emissions
Carbon Dioxide as Carbon,Energy,Coke production,Blast furnace gas,1970,0.0571180709618659,Emissions
Carbon Dioxide as Carbon,Energy,Coke production,Coke oven gas,1970,0.0121467545308892,Emissions
Carbon Dioxide as Carbon,Energy,Coke production,Colliery methane,1970,0.0181299341246259,Emissions
Carbon Dioxide as Carbon,Energy,Coke production,Natural gas,1970,0.0152178243350455,Emissions
Carbon Dioxide as Carbon,Energy,Collieries - combustion,Coal,1970,0.024889706,Emissions
Carbon Dioxide as Carbon,Energy,Collieries - combustion,Coke oven gas,1970,0.0121467545308892,Emissions
Carbon Dioxide as Carbon,Energy,Collieries - combustion,Colliery methane,1970,0.0181299341246259,Emissions
Methane,Energy,Deep-mined coal,Coal produced,1970,10.0976185369422,Emissions
Carbon Dioxide as Carbon,Energy,Domestic combustion,Anthracite,1970,0.026911028,Emissions
Carbon Dioxide as Carbon,Energy,Domestic combustion,Burning oil,1970,0.0195716564137617,Emissions
Carbon Dioxide as Carbon,Energy,Domestic combustion,Coal,1970,0.025087108,Emissions
Carbon Dioxide as Carbon,Energy,Domestic combustion,Coke,1970,0.0276888395712285,Emissions
Carbon Dioxide as Carbon,Energy,Domestic combustion,Fuel oil,1970,0.0213504728132388,Emissions
Carbon Dioxide as Carbon,Energy,Domestic combustion,Gas oil,1970,0.020362733152123,Emissions
Carbon Dioxide as Carbon,Energy,Domestic combustion,LPG,1970,0.0174291786399796,Emissions
Carbon Dioxide as Carbon,Energy,Domestic combustion,Natural gas,1970,0.0152178243350455,Emissions
